amenity,x_meters,y_meters,latitude,longitude,kmeans_cluster,dbscan_cluster
fast_food,-9338123.104764957,4299915.913922384,35.9948729,-83.8857871,1,-1
grave_yard,-9336200.427915823,4298645.527988301,35.9856392,-83.8685154,1,-1
school,-9344147.637683045,4293143.834301553,35.9456381,-83.9399064,3,0
school,-9342725.119306047,4290585.081095172,35.9270273,-83.9271277,3,-1
place_of_worship,-9348074.922526538,4293869.4657315165,35.9509151,-83.9751858,0,5
school,-9363629.372336099,4289935.534567312,35.9223022,-84.1149138,2,-1
school,-9347827.526090197,4293487.51656744,35.9481375,-83.9729634,0,5
place_of_worship,-9351878.653867196,4302926.046977667,36.0167475,-84.0093553,4,-1
place_of_worship,-9347326.254423156,4301384.1759073455,36.0055435,-83.9684604,4,8
place_of_worship,-9336633.338283569,4297460.920480037,35.977028,-83.8724043,3,-1
school,-9338272.306278467,4299180.495374417,35.9895277,-83.8871274,1,-1
place_of_worship,-9353764.86245115,4295588.403178423,35.9634143,-84.0262994,0,-1
place_of_worship,-9355089.742502773,4292625.127600362,35.9418657,-84.038201,0,-1
school,-9343807.72361791,4305984.992295638,36.0389706,-83.9368529,1,1
grave_yard,-9357197.343290012,4294595.090622686,35.9561917,-84.0571339,0,-1
grave_yard,-9347580.330028942,4304034.83233271,36.0248035,-83.9707428,4,-1
doctors,-9342803.911241628,4297595.288355105,35.9780048,-83.9278355,3,0
school,-9342168.688831314,4301702.97734962,36.0078602,-83.9221292,1,-1
place_of_worship,-9335860.124232467,4289707.004484906,35.9206397,-83.8654584,3,-1
place_of_worship,-9351352.80285659,4294595.186888158,35.9561924,-84.0046315,0,-1
place_of_worship,-9351729.363298096,4295781.324787268,35.964817,-84.0080142,0,-1
place_of_worship,-9348940.74326203,4291768.787723981,35.9356374,-83.9829636,0,5
place_of_worship,-9338705.372493502,4305526.242089878,36.0356382,-83.8910177,1,-1
place_of_worship,-9352187.776961181,4297154.898623801,35.9748033,-84.0121322,4,-1
place_of_worship,-9336902.608999848,4304416.423303457,36.0275758,-83.8748232,1,-1
school,-9350827.174484963,4298950.917738943,35.987859,-83.9999097,4,-1
place_of_worship,-9347867.04450943,4299366.60169329,35.9908804,-83.9733184,4,-1
grave_yard,-9349806.786636502,4303193.681088184,36.0186921,-83.9907434,4,-1
place_of_worship,-9356331.489158675,4294747.906258045,35.9573029,-84.0493558,0,-1
grave_yard,-9355341.925677218,4293716.552443983,35.9498031,-84.0404664,0,-1
place_of_worship,-9350765.392167572,4302237.957871067,36.0117477,-83.9993547,4,-1
place_of_worship,-9335643.808197958,4298339.816662321,35.983417,-83.8635152,1,-1
school,-9346250.518523876,4298224.946708152,35.982582,-83.9587969,4,-1
nursing_home,-9355221.56704377,4292301.972808957,35.9395154,-84.0393852,0,-1
school,-9339547.092559235,4293249.685190837,35.9464079,-83.898579,3,-1
school,-9340344.128981367,4296811.279111343,35.9723052,-83.9057389,3,-1
place_of_worship,-9356857.1397942,4290852.108749221,35.9289697,-84.0540778,0,-1
place_of_worship,-9358712.535143098,4290088.353423581,35.9234139,-84.0707451,2,-1
place_of_worship,-9335087.244139839,4301473.786692708,36.0061947,-83.8585155,1,-1
